 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> November 01, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Gold in Zr- O

 Ion = Gold [79] , Mass = 196.967 amu

 Target Density =  5.6800E+00 g/cm3 = 8.3284E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zr     40    033.33    074.03   
      O      8    066.67    025.97   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.949E-01  4.158E+00      62 A        24 A        18 A   
  11.00 keV   3.093E-01  4.324E+00      65 A        25 A        19 A   
  12.00 keV   3.230E-01  4.479E+00      68 A        26 A        19 A   
  13.00 keV   3.362E-01  4.624E+00      71 A        27 A        20 A   
  14.00 keV   3.489E-01  4.760E+00      73 A        28 A        21 A   
  15.00 keV   3.612E-01  4.888E+00      76 A        29 A        21 A   
  16.00 keV   3.730E-01  5.010E+00      79 A        30 A        22 A   
  17.00 keV   3.845E-01  5.125E+00      81 A        31 A        23 A   
  18.00 keV   3.956E-01  5.235E+00      84 A        32 A        23 A   
  20.00 keV   4.170E-01  5.439E+00      89 A        33 A        25 A   
  22.50 keV   4.423E-01  5.671E+00      95 A        35 A        26 A   
  25.00 keV   4.663E-01  5.880E+00     100 A        37 A        27 A   
  27.50 keV   4.890E-01  6.072E+00     106 A        39 A        29 A   
  30.00 keV   5.108E-01  6.247E+00     111 A        40 A        30 A   
  32.50 keV   5.316E-01  6.409E+00     116 A        42 A        31 A   
  35.00 keV   5.517E-01  6.560E+00     121 A        44 A        33 A   
  37.50 keV   5.711E-01  6.700E+00     126 A        45 A        34 A   
  40.00 keV   5.898E-01  6.831E+00     131 A        46 A        35 A   
  45.00 keV   6.256E-01  7.070E+00     140 A        49 A        37 A   
